date,sku,units_sold
2026-05-22,SKU-1003,7
2026-05-22,SKU-1004,10
2026-05-22,SKU-1005,0
2026-05-22,SKU-1006,3
2026-05-22,SKU-1007,20
2026-05-22,SKU-1008,0
2026-05-23,SKU-1001,19
2026-05-23,SKU-1002,42
2026-05-23,SKU-1003,0
2026-05-23,SKU-1004,11
2026-05-23,SKU-1005,2
2026-05-23,SKU-1006,6
2026-05-23,SKU-1007,37
2026-05-23,SKU-1008,4
2026-05-24,SKU-1001,11
2026-05-24,SKU-1002,43
2026-05-24,SKU-1003,12
2026-05-24,SKU-1004,11
2026-05-24,SKU-1005,4
2026-05-24,SKU-1006,1
2026-05-24,SKU-1007,43
2026-05-24,SKU-1008,6
2026-05-25,SKU-1001,13
2026-05-25,SKU-1002,31
2026-05-25,SKU-1003,10
2026-05-25,SKU-1004,8
2026-05-25,SKU-1005,0
2026-05-25,SKU-1006,2
2026-05-25,SKU-1007,32
2026-05-25,SKU-1008,3
2026-05-26,SKU-1001,12
2026-05-26,SKU-1002,40
2026-05-26,SKU-1003,3
2026-05-26,SKU-1004,7
2026-05-26,SKU-1005,1
2026-05-26,SKU-1006,5
2026-05-26,SKU-1007,24
2026-05-26,SKU-1008,3
2026-05-27,SKU-1001,13
2026-05-27,SKU-1002,40
2026-05-27,SKU-1003,6
2026-05-27,SKU-1004,10
2026-05-27,SKU-1005,1
2026-05-27,SKU-1006,5
2026-05-27,SKU-1007,27
2026-05-27,SKU-1008,1
2026-05-28,SKU-1001,12
2026-05-28,SKU-1002,33
2026-05-28,SKU-1003,0
2026-05-28,SKU-1004,13
2026-05-28,SKU-1005,1
2026-05-28,SKU-1006,1
2026-05-28,SKU-1007,30
2026-05-28,SKU-1008,3
2026-05-29,SKU-1001,17
2026-05-29,SKU-1002,26
2026-05-29,SKU-1003,4
2026-05-29,SKU-1004,10
2026-05-29,SKU-1005,0
2026-05-29,SKU-1006,6
2026-05-29,SKU-1007,21
2026-05-29,SKU-1008,2
2026-05-30,SKU-1001,23
2026-05-30,SKU-1002,39
2026-05-30,SKU-1003,12
2026-05-30,SKU-1004,8
2026-05-30,SKU-1005,2
2026-05-30,SKU-1006,4
2026-05-30,SKU-1007,33
2026-05-30,SKU-1008,3
2026-05-31,SKU-1001,16
2026-05-31,SKU-1002,45
2026-05-31,SKU-1003,8
2026-05-31,SKU-1004,10
2026-05-31,SKU-1005,4
2026-05-31,SKU-1006,0
2026-05-31,SKU-1007,33
2026-05-31,SKU-1008,3
2026-06-01,SKU-1001,14
2026-06-01,SKU-1002,41
2026-06-01,SKU-1003,7
2026-06-01,SKU-1004,7
2026-06-01,SKU-1005,0
2026-06-01,SKU-1006,3
2026-06-01,SKU-1007,24
2026-06-01,SKU-1008,0
2026-06-02,SKU-1001,16
2026-06-02,SKU-1002,23
2026-06-02,SKU-1003,3
2026-06-02,SKU-1004,8
2026-06-02,SKU-1005,0
2026-06-02,SKU-1006,6
2026-06-02,SKU-1007,20
2026-06-02,SKU-1008,2
2026-06-03,SKU-1001,19
2026-06-03,SKU-1002,31
2026-06-03,SKU-1003,5
2026-06-03,SKU-1004,8
2026-06-03,SKU-1005,2
2026-06-03,SKU-1006,0
2026-06-03,SKU-1007,22
2026-06-03,SKU-1008,0
2026-06-04,SKU-1001,9
2026-06-04,SKU-1002,30
2026-06-04,SKU-1003,7
2026-06-04,SKU-1004,5
2026-06-04,SKU-1005,0
2026-06-04,SKU-1006,4
2026-06-04,SKU-1007,25
2026-06-04,SKU-1008,4
2026-06-05,SKU-1001,7
2026-06-05,SKU-1002,27
2026-06-05,SKU-1003,6
2026-06-05,SKU-1004,8
2026-06-05,SKU-1005,0
2026-06-05,SKU-1006,4
2026-06-05,SKU-1007,27
2026-06-05,SKU-1008,0
2026-06-06,SKU-1001,22
2026-06-06,SKU-1002,41
2026-06-06,SKU-1003,0
2026-06-06,SKU-1004,12
2026-06-06,SKU-1005,0
2026-06-06,SKU-1006,5
2026-06-06,SKU-1007,38
2026-06-06,SKU-1008,4
2026-06-07,SKU-1001,14
2026-06-07,SKU-1002,47
2026-06-07,SKU-1003,0
2026-06-07,SKU-1004,11
2026-06-07,SKU-1005,1
2026-06-07,SKU-1006,6
2026-06-07,SKU-1007,37
2026-06-07,SKU-1008,0
2026-06-08,SKU-1001,6
2026-06-08,SKU-1002,39
2026-06-08,SKU-1003,9
2026-06-08,SKU-1004,7
2026-06-08,SKU-1005,0
2026-06-08,SKU-1006,1
2026-06-08,SKU-1007,31
2026-06-08,SKU-1008,4
2026-06-09,SKU-1001,17
2026-06-09,SKU-1002,35
2026-06-09,SKU-1003,4
2026-06-09,SKU-1004,11
2026-06-09,SKU-1005,1
2026-06-09,SKU-1006,3
2026-06-09,SKU-1007,23
2026-06-09,SKU-1008,2
2026-06-10,SKU-1001,12
2026-06-10,SKU-1002,38
2026-06-10,SKU-1003,4
2026-06-10,SKU-1004,13
2026-06-10,SKU-1005,0
2026-06-10,SKU-1006,2
2026-06-10,SKU-1007,18
2026-06-10,SKU-1008,2
2026-06-11,SKU-1001,5
2026-06-11,SKU-1002,28
2026-06-11,SKU-1003,6
2026-06-11,SKU-1004,8
2026-06-11,SKU-1005,3
2026-06-11,SKU-1006,0
2026-06-11,SKU-1007,25
2026-06-11,SKU-1008,4
2026-06-12,SKU-1001,20
2026-06-12,SKU-1002,36
2026-06-12,SKU-1003,7
2026-06-12,SKU-1004,6
2026-06-12,SKU-1005,1
2026-06-12,SKU-1006,4
2026-06-12,SKU-1007,24
2026-06-12,SKU-1008,1
2026-06-13,SKU-1001,15
2026-06-13,SKU-1002,42
2026-06-13,SKU-1003,11
2026-06-13,SKU-1004,14
2026-06-13,SKU-1005,1
2026-06-13,SKU-1006,4
2026-06-13,SKU-1007,33
2026-06-13,SKU-1008,6
2026-06-14,SKU-1001,20
2026-06-14,SKU-1002,50
2026-06-14,SKU-1003,11
2026-06-14,SKU-1004,8
2026-06-14,SKU-1005,2
2026-06-14,SKU-1006,0
2026-06-14,SKU-1007,40
2026-06-14,SKU-1008,4
2026-06-15,SKU-1001,18
2026-06-15,SKU-1002,35
2026-06-15,SKU-1003,3
2026-06-15,SKU-1004,7
2026-06-15,SKU-1005,0
2026-06-15,SKU-1006,4
2026-06-15,SKU-1007,22
2026-06-15,SKU-1008,0
2026-06-16,SKU-1001,15
2026-06-16,SKU-1002,36
2026-06-16,SKU-1003,5
2026-06-16,SKU-1004,10
2026-06-16,SKU-1005,1
2026-06-16,SKU-1006,5
2026-06-16,SKU-1007,25
2026-06-16,SKU-1008,2
2026-06-17,SKU-1001,12
2026-06-17,SKU-1002,24
2026-06-17,SKU-1003,8
2026-06-17,SKU-1004,6
2026-06-17,SKU-1005,0
2026-06-17,SKU-1006,4
2026-06-17,SKU-1007,28
2026-06-17,SKU-1008,0
2026-06-18,SKU-1001,14
2026-06-18,SKU-1002,34
2026-06-18,SKU-1003,6
2026-06-18,SKU-1004,10
2026-06-18,SKU-1005,0
2026-06-18,SKU-1006,5
2026-06-18,SKU-1007,21
2026-06-18,SKU-1008,1
2026-06-19,SKU-1001,9
2026-06-19,SKU-1002,32
2026-06-19,SKU-1003,8
2026-06-19,SKU-1004,9
2026-06-19,SKU-1005,0
2026-06-19,SKU-1006,0
2026-06-19,SKU-1007,24
2026-06-19,SKU-1008,4
2026-06-20,SKU-1001,17
2026-06-20,SKU-1002,55
2026-06-20,SKU-1003,11
2026-06-20,SKU-1004,15
2026-06-20,SKU-1005,4
2026-06-20,SKU-1006,10
2026-06-20,SKU-1007,31
2026-06-20,SKU-1008,6
2026-06-21,SKU-1001,20
2026-06-21,SKU-1002,52
2026-06-21,SKU-1003,10
2026-06-21,SKU-1004,8
2026-06-21,SKU-1005,0
2026-06-21,SKU-1006,4
2026-06-21,SKU-1007,41
2026-06-21,SKU-1008,2
2026-06-22,SKU-1001,20
2026-06-22,SKU-1002,31
2026-06-22,SKU-1003,6
2026-06-22,SKU-1004,11
2026-06-22,SKU-1005,0
2026-06-22,SKU-1006,6
2026-06-22,SKU-1007,25
2026-06-22,SKU-1008,3
2026-06-23,SKU-1001,17
2026-06-23,SKU-1002,35
2026-06-23,SKU-1003,5
2026-06-23,SKU-1004,5
2026-06-23,SKU-1005,0
2026-06-23,SKU-1006,5
2026-06-23,SKU-1007,26
2026-06-23,SKU-1008,3
2026-06-24,SKU-1001,23
2026-06-24,SKU-1002,44
2026-06-24,SKU-1003,10
2026-06-24,SKU-1004,12
2026-06-24,SKU-1005,0
2026-06-24,SKU-1006,4
2026-06-24,SKU-1007,26
2026-06-24,SKU-1008,4
2026-06-25,SKU-1001,7
2026-06-25,SKU-1002,34
2026-06-25,SKU-1003,7
2026-06-25,SKU-1004,6
2026-06-25,SKU-1005,2
2026-06-25,SKU-1006,3
2026-06-25,SKU-1007,31
2026-06-25,SKU-1008,0
2026-06-26,SKU-1001,14
2026-06-26,SKU-1002,28
2026-06-26,SKU-1003,6
2026-06-26,SKU-1004,10
2026-06-26,SKU-1005,3
2026-06-26,SKU-1006,4
2026-06-26,SKU-1007,24
2026-06-26,SKU-1008,3
2026-06-27,SKU-1001,15
2026-06-27,SKU-1002,56
2026-06-27,SKU-1003,0
2026-06-27,SKU-1004,9
2026-06-27,SKU-1005,4
2026-06-27,SKU-1006,1
2026-06-27,SKU-1007,30
2026-06-27,SKU-1008,4
2026-06-28,SKU-1001,21
2026-06-28,SKU-1002,54
2026-06-28,SKU-1003,9
2026-06-28,SKU-1004,6
2026-06-28,SKU-1005,3
2026-06-28,SKU-1006,3
2026-06-28,SKU-1007,40
2026-06-28,SKU-1008,0
2026-06-29,SKU-1001,7
2026-06-29,SKU-1002,51
2026-06-29,SKU-1003,3
2026-06-29,SKU-1004,11
2026-06-29,SKU-1005,2
2026-06-29,SKU-1006,3
2026-06-29,SKU-1007,17
2026-06-29,SKU-1008,2
2026-06-30,SKU-1001,17
2026-06-30,SKU-1002,26
2026-06-30,SKU-1003,5
2026-06-30,SKU-1004,11
2026-06-30,SKU-1005,0
2026-06-30,SKU-1006,2
2026-06-30,SKU-1007,23
2026-06-30,SKU-1008,2
2026-07-01,SKU-1001,16
2026-07-01,SKU-1002,24
2026-07-01,SKU-1003,5
2026-07-01,SKU-1004,9
2026-07-01,SKU-1005,1
2026-07-01,SKU-1006,5
2026-07-01,SKU-1007,22
2026-07-01,SKU-1008,3
2026-07-02,SKU-1001,5
2026-07-02,SKU-1002,27
2026-07-02,SKU-1003,6
2026-07-02,SKU-1004,7
2026-07-02,SKU-1005,1
2026-07-02,SKU-1006,3
2026-07-02,SKU-1007,29
2026-07-02,SKU-1008,1
2026-07-03,SKU-1001,11
2026-07-03,SKU-1002,41
2026-07-03,SKU-1003,6
2026-07-03,SKU-1004,5
2026-07-03,SKU-1005,2
2026-07-03,SKU-1006,2
2026-07-03,SKU-1007,20
2026-07-03,SKU-1008,0
2026-07-04,SKU-1001,15
2026-07-04,SKU-1002,51
2026-07-04,SKU-1003,12
2026-07-04,SKU-1004,3
2026-07-04,SKU-1005,2
2026-07-04,SKU-1006,5
2026-07-04,SKU-1007,34
2026-07-04,SKU-1008,3
2026-07-05,SKU-1001,20
2026-07-05,SKU-1002,61
2026-07-05,SKU-1003,10
2026-07-05,SKU-1004,14
2026-07-05,SKU-1005,0
2026-07-05,SKU-1006,3
2026-07-05,SKU-1007,34
2026-07-05,SKU-1008,3
2026-07-06,SKU-1001,9
2026-07-06,SKU-1002,30
2026-07-06,SKU-1003,7
2026-07-06,SKU-1004,9
2026-07-06,SKU-1005,2
2026-07-06,SKU-1006,0
2026-07-06,SKU-1007,25
2026-07-06,SKU-1008,2
2026-07-07,SKU-1001,17
2026-07-07,SKU-1002,33
2026-07-07,SKU-1003,10
2026-07-07,SKU-1004,10
2026-07-07,SKU-1005,2
2026-07-07,SKU-1006,6
2026-07-07,SKU-1007,25
2026-07-07,SKU-1008,0
2026-07-08,SKU-1001,17
2026-07-08,SKU-1002,39
2026-07-08,SKU-1003,9
2026-07-08,SKU-1004,9
2026-07-08,SKU-1005,1
2026-07-08,SKU-1006,3
2026-07-08,SKU-1007,31
2026-07-08,SKU-1008,2
2026-07-09,SKU-1001,19
2026-07-09,SKU-1002,43
2026-07-09,SKU-1003,5
2026-07-09,SKU-1004,6
2026-07-09,SKU-1005,1
2026-07-09,SKU-1006,5
2026-07-09,SKU-1007,27
2026-07-09,SKU-1008,1
2026-07-10,SKU-1001,13
2026-07-10,SKU-1002,38
2026-07-10,SKU-1003,0
2026-07-10,SKU-1004,9
2026-07-10,SKU-1005,0
2026-07-10,SKU-1006,5
2026-07-10,SKU-1007,28
2026-07-10,SKU-1008,2
2026-07-11,SKU-1001,17
2026-07-11,SKU-1002,53
2026-07-11,SKU-1003,6
2026-07-11,SKU-1004,8
2026-07-11,SKU-1005,2
2026-07-11,SKU-1006,4
2026-07-11,SKU-1007,50
2026-07-11,SKU-1008,4
2026-07-12,SKU-1001,9
2026-07-12,SKU-1002,54
2026-07-12,SKU-1003,7
2026-07-12,SKU-1004,11
2026-07-12,SKU-1005,3
2026-07-12,SKU-1006,4
2026-07-12,SKU-1007,39
2026-07-12,SKU-1008,6
2026-07-13,SKU-1001,18
2026-07-13,SKU-1002,35
2026-07-13,SKU-1003,10
2026-07-13,SKU-1004,11
2026-07-13,SKU-1005,1
2026-07-13,SKU-1006,1
2026-07-13,SKU-1007,28
2026-07-13,SKU-1008,3
2026-07-14,SKU-1001,17
2026-07-14,SKU-1002,39
2026-07-14,SKU-1003,10
2026-07-14,SKU-1004,13
2026-07-14,SKU-1005,2
2026-07-14,SKU-1006,4
2026-07-14,SKU-1007,21
2026-07-14,SKU-1008,1
2026-07-15,SKU-1001,16
2026-07-15,SKU-1002,39
2026-07-15,SKU-1003,10
2026-07-15,SKU-1004,5
2026-07-15,SKU-1005,0
2026-07-15,SKU-1006,6
2026-07-15,SKU-1007,28
2026-07-15,SKU-1008,3
2026-07-16,SKU-1001,14
2026-07-16,SKU-1002,29
2026-07-16,SKU-1003,11
2026-07-16,SKU-1004,7
2026-07-16,SKU-1005,3
2026-07-16,SKU-1006,5
2026-07-16,SKU-1007,30
2026-07-16,SKU-1008,4
2026-07-17,SKU-1001,21
2026-07-17,SKU-1002,36
2026-07-17,SKU-1003,9
2026-07-17,SKU-1004,11
2026-07-17,SKU-1005,1
2026-07-17,SKU-1006,6
2026-07-17,SKU-1007,26
2026-07-17,SKU-1008,0
2026-07-18,SKU-1001,20
2026-07-18,SKU-1002,51
2026-07-18,SKU-1003,11
2026-07-18,SKU-1004,13
2026-07-18,SKU-1005,0
2026-07-18,SKU-1006,4
2026-07-18,SKU-1007,38
2026-07-18,SKU-1008,3
2026-07-19,SKU-1001,14
2026-07-19,SKU-1002,43
2026-07-19,SKU-1003,0
2026-07-19,SKU-1004,11
2026-07-19,SKU-1005,0
2026-07-19,SKU-1006,0
2026-07-19,SKU-1007,41
2026-07-19,SKU-1008,4
2026-07-20,SKU-1001,10
2026-07-20,SKU-1002,42
2026-07-20,SKU-1003,7
2026-07-20,SKU-1004,7
2026-07-20,SKU-1005,0
2026-07-20,SKU-1006,0
2026-07-20,SKU-1007,32
2026-07-20,SKU-1008,1
2026-07-21,SKU-1001,13
2026-07-21,SKU-1002,37
2026-07-21,SKU-1003,8
2026-07-21,SKU-1004,5
2026-07-21,SKU-1005,3
2026-07-21,SKU-1006,6
2026-07-21,SKU-1007,23
2026-07-21,SKU-1008,2
2026-07-22,SKU-1001,13
2026-07-22,SKU-1002,39
2026-07-22,SKU-1003,2
2026-07-22,SKU-1004,8
2026-07-22,SKU-1005,2
2026-07-22,SKU-1006,1
2026-07-22,SKU-1007,30
2026-07-22,SKU-1008,4
2026-07-23,SKU-1001,17
2026-07-23,SKU-1002,44
2026-07-23,SKU-1003,7
2026-07-23,SKU-1004,5
2026-07-23,SKU-1005,0
2026-07-23,SKU-1006,2
2026-07-23,SKU-1007,29
2026-07-23,SKU-1008,2
2026-07-24,SKU-1001,14
2026-07-24,SKU-1002,38
2026-07-24,SKU-1003,6
2026-07-24,SKU-1004,8
2026-07-24,SKU-1005,0
2026-07-24,SKU-1006,6
2026-07-24,SKU-1007,23
2026-07-24,SKU-1008,0
2026-07-25,SKU-1001,16
2026-07-25,SKU-1002,54
2026-07-25,SKU-1003,7
2026-07-25,SKU-1004,9
2026-07-25,SKU-1005,0
2026-07-25,SKU-1006,5
2026-07-25,SKU-1007,40
2026-07-25,SKU-1008,0
2026-07-26,SKU-1001,14
2026-07-26,SKU-1002,43
2026-07-26,SKU-1003,13
2026-07-26,SKU-1004,8
2026-07-26,SKU-1005,0
2026-07-26,SKU-1006,6
2026-07-26,SKU-1007,41
2026-07-26,SKU-1008,0
2026-07-27,SKU-1001,13
2026-07-27,SKU-1002,35
2026-07-27,SKU-1003,4
2026-07-27,SKU-1004,6
2026-07-27,SKU-1005,0
2026-07-27,SKU-1006,6
2026-07-27,SKU-1007,26
2026-07-27,SKU-1008,1
2026-07-28,SKU-1001,13
2026-07-28,SKU-1002,41
2026-07-28,SKU-1003,5
2026-07-28,SKU-1004,4
2026-07-28,SKU-1005,0
2026-07-28,SKU-1006,4
2026-07-28,SKU-1007,26
2026-07-28,SKU-1008,2
2026-07-29,SKU-1001,12
2026-07-29,SKU-1002,37
2026-07-29,SKU-1003,8
2026-07-29,SKU-1004,7
2026-07-29,SKU-1005,1
2026-07-29,SKU-1006,4
2026-07-29,SKU-1007,31
2026-07-29,SKU-1008,0
2026-07-30,SKU-1001,16
2026-07-30,SKU-1002,38
2026-07-30,SKU-1003,6
2026-07-30,SKU-1004,7
2026-07-30,SKU-1005,0
2026-07-30,SKU-1006,3
2026-07-30,SKU-1007,23
2026-07-30,SKU-1008,2
2026-07-31,SKU-1001,8
2026-07-31,SKU-1002,38
2026-07-31,SKU-1003,10
2026-07-31,SKU-1004,8
2026-07-31,SKU-1005,0
2026-07-31,SKU-1006,7
2026-07-31,SKU-1007,26
2026-07-31,SKU-1008,0
2026-08-01,SKU-1001,13
2026-08-01,SKU-1002,41
2026-08-01,SKU-1003,15
2026-08-01,SKU-1004,4
2026-08-01,SKU-1005,2
2026-08-01,SKU-1006,0
2026-08-01,SKU-1007,55
2026-08-01,SKU-1008,3
2026-08-02,SKU-1001,22
2026-08-02,SKU-1002,58
2026-08-02,SKU-1003,13
2026-08-02,SKU-1004,8
2026-08-02,SKU-1005,2
2026-08-02,SKU-1006,2
2026-08-02,SKU-1007,34
2026-08-02,SKU-1008,4
2026-08-03,SKU-1001,9
2026-08-03,SKU-1002,36
2026-08-03,SKU-1003,7
2026-08-03,SKU-1004,10
2026-08-03,SKU-1005,0
2026-08-03,SKU-1006,5
2026-08-03,SKU-1007,31
2026-08-03,SKU-1008,0
2026-08-04,SKU-1001,15
2026-08-04,SKU-1002,31
2026-08-04,SKU-1003,7
2026-08-04,SKU-1004,8
2026-08-04,SKU-1005,0
2026-08-04,SKU-1006,0
2026-08-04,SKU-1007,26
2026-08-04,SKU-1008,1
2026-08-05,SKU-1001,22
2026-08-05,SKU-1002,44
2026-08-05,SKU-1003,0
2026-08-05,SKU-1004,8
2026-08-05,SKU-1005,0
2026-08-05,SKU-1006,1
2026-08-05,SKU-1007,18
2026-08-05,SKU-1008,0
2026-08-06,SKU-1001,11
2026-08-06,SKU-1002,44
2026-08-06,SKU-1003,7
2026-08-06,SKU-1004,6
2026-08-06,SKU-1005,1
2026-08-06,SKU-1006,3
2026-08-06,SKU-1007,26
2026-08-06,SKU-1008,0
2026-08-07,SKU-1001,15
2026-08-07,SKU-1002,31
2026-08-07,SKU-1003,0
2026-08-07,SKU-1004,14
2026-08-07,SKU-1005,2
2026-08-07,SKU-1006,3
2026-08-07,SKU-1007,28
2026-08-07,SKU-1008,0
2026-08-08,SKU-1001,20
2026-08-08,SKU-1002,39
2026-08-08,SKU-1003,7
2026-08-08,SKU-1004,13
2026-08-08,SKU-1005,0
2026-08-08,SKU-1006,7
2026-08-08,SKU-1007,50
2026-08-08,SKU-1008,2
2026-08-09,SKU-1001,23
2026-08-09,SKU-1002,56
2026-08-09,SKU-1003,11
2026-08-09,SKU-1004,10
2026-08-09,SKU-1005,0
2026-08-09,SKU-1006,2
2026-08-09,SKU-1007,47
2026-08-09,SKU-1008,0
2026-08-10,SKU-1001,7
2026-08-10,SKU-1002,52
2026-08-10,SKU-1003,8
2026-08-10,SKU-1004,8
2026-08-10,SKU-1005,0
2026-08-10,SKU-1006,2
2026-08-10,SKU-1007,18
2026-08-10,SKU-1008,2
2026-08-11,SKU-1001,13
2026-08-11,SKU-1002,33
2026-08-11,SKU-1003,9
2026-08-11,SKU-1004,5
2026-08-11,SKU-1005,0
2026-08-11,SKU-1006,0
2026-08-11,SKU-1007,24
2026-08-11,SKU-1008,2
2026-08-12,SKU-1001,18
2026-08-12,SKU-1002,43
2026-08-12,SKU-1003,6
2026-08-12,SKU-1004,7
2026-08-12,SKU-1005,0
2026-08-12,SKU-1006,3
2026-08-12,SKU-1007,40
2026-08-12,SKU-1008,0
2026-08-13,SKU-1001,7
2026-08-13,SKU-1002,41
2026-08-13,SKU-1003,5
2026-08-13,SKU-1004,3
2026-08-13,SKU-1005,0
2026-08-13,SKU-1006,0
2026-08-13,SKU-1007,37
2026-08-13,SKU-1008,0
2026-08-14,SKU-1001,10
2026-08-14,SKU-1002,30
2026-08-14,SKU-1003,8
2026-08-14,SKU-1004,9
2026-08-14,SKU-1005,0
2026-08-14,SKU-1006,2
2026-08-14,SKU-1007,36
2026-08-14,SKU-1008,3
2026-08-15,SKU-1001,20
2026-08-15,SKU-1002,41
2026-08-15,SKU-1003,11
2026-08-15,SKU-1004,12
2026-08-15,SKU-1005,0
2026-08-15,SKU-1006,4
2026-08-15,SKU-1007,52
2026-08-15,SKU-1008,1
2026-08-16,SKU-1001,22
2026-08-16,SKU-1002,51
2026-08-16,SKU-1003,13
2026-08-16,SKU-1004,10
2026-08-16,SKU-1005,0
2026-08-16,SKU-1006,2
2026-08-16,SKU-1007,56
2026-08-16,SKU-1008,3
2026-08-17,SKU-1001,19
2026-08-17,SKU-1002,35
2026-08-17,SKU-1003,10
2026-08-17,SKU-1004,9
2026-08-17,SKU-1005,1
2026-08-17,SKU-1006,1
2026-08-17,SKU-1007,24
2026-08-17,SKU-1008,2
2026-08-18,SKU-1001,14
2026-08-18,SKU-1002,32
2026-08-18,SKU-1003,4
2026-08-18,SKU-1004,4
2026-08-18,SKU-1005,0
2026-08-18,SKU-1006,4
2026-08-18,SKU-1007,32
2026-08-18,SKU-1008,0
2026-08-19,SKU-1001,17
2026-08-19,SKU-1002,40
2026-08-19,SKU-1003,6
2026-08-19,SKU-1004,6
2026-08-19,SKU-1005,3
2026-08-19,SKU-1006,0
2026-08-19,SKU-1007,19
2026-08-19,SKU-1008,1
2026-08-20,SKU-1001,17
2026-08-20,SKU-1002,41
2026-08-20,SKU-1003,9
2026-08-20,SKU-1004,8
2026-08-20,SKU-1005,0
2026-08-20,SKU-1006,8
2026-08-20,SKU-1007,27
2026-08-20,SKU-1008,4
2026-08-21,SKU-1001,11
